"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","4/48","166/9370",0.0240963855421687,4.70381526104418,3.45483845266286,0.0100879514531911,0.0176734653365984,0.00567987474720675,"INSR/AGTR1/MAPK3/PDE5A",4
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","4/48","168/9370",0.0238095238095238,4.64781746031746,3.42341313799935,0.0105092418637547,0.0181304477954851,0.00582673916110142,"IL1B/JAK2/MAPK10/JAK1",4
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","4/48","168/9370",0.0238095238095238,4.64781746031746,3.42341313799935,0.0105092418637547,0.0181304477954851,0.00582673916110142,"PIK3CA/JAK2/JAK1/GRB2",4
"Organismal Systems","Digestive system","hsa04981","Folate transport and metabolism","2/48","31/9370",0.0645161290322581,12.5940860215054,4.63959280584193,0.0108706687085194,0.0186119024857983,0.00598146842813266,"DHFR/TYMS",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","6/48","370/9370",0.0162162162162162,3.16554054054054,3.04971049737185,0.0110030566258416,0.018696923289024,0.00600879230061788,"AGTR1/PTGER2/PTGER4/CCKBR/TACR2/HRH1",6
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","2/48","32/9370",0.0625,12.2005208333333,4.55406223608184,0.0115577921000741,0.0194929926463936,0.00626463201025224,"CASP3/MAPK10",2
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","3/48","93/9370",0.032258064516129,6.29704301075269,3.68369686230915,0.0118610873497997,0.0198563388226276,0.00638140372036005,"PIK3CA/CASP3/CDK2",3
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","4/48","178/9370",0.0224719101123595,4.38670411985019,3.27336879707618,0.0127872760930706,0.021249444095838,0.00682911803732101,"PRKCA/MAPK10/JUN/GSK3B",4
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","3/48","98/9370",0.0306122448979592,5.97576530612245,3.55303023227181,0.0136573114940326,0.0225295795449004,0.00724052626268342,"PIK3CA/PRKCA/MAPK3",3
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","3/48","101/9370",0.0297029702970297,5.79826732673267,3.47889543127139,0.0148056161487124,0.0242468786203551,0.00779242955195389,"PRKCA/MAPK3/GSK3B",3
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","2/48","37/9370",0.0540540540540541,10.5518018018018,4.17722838384271,0.0152694797607835,0.0248266361578206,0.00797875125705459,"IL1B/PRKCA",2
"Human Diseases","Substance dependence","hsa05034","Alcoholism","4/48","191/9370",0.0209424083769634,4.08813263525305,3.09405217238639,0.016192371994311,0.0261391147908164,0.00840055389178542,"SLC6A3/MAPK3/GRB2/HDAC2",4
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","3/48","105/9370",0.0285714285714286,5.57738095238095,3.38455584747958,0.0164197100908713,0.0263181168832406,0.00845808134580159,"SRC/MAPK10/JUN",3
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","2/48","39/9370",0.0512820512820513,10.0106837606838,4.04611894401053,0.016879297949995,0.026864234765485,0.00863359198331843,"DHFR/TYMS",2
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","3/48","110/9370",0.0272727272727273,5.32386363636364,3.27322249413528,0.0185716175818354,0.0293509480663972,0.00943276859143647,"TGFBR1/MAPK3/HDAC2",3
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","3/48","116/9370",0.0258620689655172,5.04849137931034,3.14825683380935,0.0213519995613794,0.0335107770893871,0.0107696489015729,"PIK3CA/PRKCA/MAPK14",3
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","2/48","49/9370",0.0408163265306122,7.96768707482993,3.50887674164502,0.0259360562884676,0.0404244739392667,0.0129915635855119,"SLC6A3/JUN",2
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","2/48","53/9370",0.0377358490566038,7.36635220125786,3.33505681667286,0.0300015668407526,0.0464407815480143,0.0149250765105402,"VDR/PRKCA",2
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","3/48","134/9370",0.0223880597014925,4.37033582089552,2.81965713498172,0.030994579817616,0.0476515308760628,0.0153141855167598,"AGTR1/PRKCA/MAPK3",3
