"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","8/54","248/9370",0.032258064516129,5.5973715651135,5.58623461120338,7.80612604165834e-05,0.000202381045524475,7.60830998212314e-05,"AKT1/PIK3CA/AKT3/BCL2/IRAK4/PIK3CD/PIK3CG/MAPK14",8
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","6/54","138/9370",0.0434782608695652,7.54428341384863,5.8963398045147,0.000132246270740233,0.000338679473846939,0.000127323110468774,"INSR/AKT1/PIK3CA/AKT3/PIK3CD/GSK3B",6
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","6/54","142/9370",0.0422535211267606,7.33176838810642,5.78820839774171,0.000154725209006539,0.00039147342037799,0.000147170458788718,"PPARG/AKT1/PIK3CA/AKT3/PIK3CD/MAPK14",6
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","7/54","205/9370",0.0341463414634146,5.92502258355917,5.42809802146273,0.000160345738858214,0.000400864347145536,0.00015070088238554,"AKT1/PIK3CA/AKT3/BCL2/IRAK4/PIK3CD/MAPK14",7
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","5/54","91/9370",0.0549450549450549,9.53398453398454,6.22803034194177,0.000168085818240691,0.000415270845065236,0.000156116859047081,"AKT1/PIK3CA/AKT3/PIK3CD/GSK3B",5
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","5/54","93/9370",0.0537634408602151,9.3289526085225,6.14549467083156,0.000186216311431657,0.000449487648283309,0.0001689803189035,"IGF1R/INSR/EGFR/SRC/ROCK1",5
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","5/54","93/9370",0.0537634408602151,9.3289526085225,6.14549467083156,0.000186216311431657,0.000449487648283309,0.0001689803189035,"MMP2/EGFR/MMP14/SRC/MAPK14",5
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","7/54","214/9370",0.0327102803738318,5.67583939079266,5.26795843198601,0.000209084808261094,0.000498952383350337,0.000187576083966292,"AKT1/PIK3CA/AKT3/BCL2/IRAK4/PIK3CD/MAPK14",7
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","5/54","99/9370",0.0505050505050505,8.76356154133932,5.91213124070804,0.000249664304796767,0.000582550044525789,0.000219003776137515,"PIK3CA/PIK3CD/SRC/MAPK14/HRH1",5
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","5/54","99/9370",0.0505050505050505,8.76356154133932,5.91213124070804,0.000249664304796767,0.000582550044525789,0.000219003776137515,"EGFR/AKT1/PIK3CA/AKT3/PIK3CD",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","8/54","299/9370",0.0267558528428094,4.64263594698377,4.87362982288979,0.00028372124807104,0.000654741341702401,0.000246143361542256,"AKT1/PIK3CA/AKT3/PIK3CD/SRC/MAPK14/GSK3B/ITGA4",8
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","8/54","300/9370",0.0266666666666667,4.62716049382716,4.86130103905982,0.000290209069055856,0.000662433744584019,0.000249035242324819,"IGF1R/INSR/EGFR/AKT1/AKT3/IRAK4/FGF1/MAPK14",8
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","6/54","169/9370",0.0355029585798817,6.16042077580539,5.15394419002412,0.000397262446090952,0.000893084680441235,0.00033574612046663,"IGF1R/AKT1/PIK3CA/AKT3/BCL2/PIK3CD",6
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","7/54","238/9370",0.0294117647058824,5.10348583877996,4.88188141213044,0.000399761714102267,0.000893084680441235,0.00033574612046663,"EGFR/PIK3CA/MMP3/IRAK4/PIK3CD/MAPK14/C3AR1",7
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","4/54","65/9370",0.0615384615384615,10.6780626780627,5.96095275104912,0.000514180727254969,0.00113661002866888,0.000427297003258977,"AKT1/PIK3CA/AKT3/PIK3CD",4
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","6/54","181/9370",0.0331491712707182,5.75199508901166,4.91484588591482,0.000572165106851787,0.00125161117123828,0.000470530515503114,"AKT1/AKT3/BCL2/IRAK4/SRC/MAPK14",6
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","6/54","184/9370",0.0326086956521739,5.65821256038647,4.85840541876591,0.000624061032146141,0.00135105996650195,0.000507917280639833,"PIK3CA/EPHB4/PIK3CD/SRC/ROCK1/GSK3B",6
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","4/54","70/9370",0.0571428571428571,9.91534391534392,5.69999410104989,0.000681685940354158,0.0014607555864732,0.000549156235516239,"AKT1/PIK3CA/AKT3/PIK3CD",4
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","6/54","195/9370",0.0307692307692308,5.33903133903134,4.66160869929338,0.000846373917116963,0.00179533861206629,0.000674939327844468,"AKT1/PIK3CA/AKT3/PIK3CD/SRC/MAPK14",6
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","4/54","77/9370",0.051948051948052,9.01394901394901,5.37579536513224,0.000976624494985508,0.00205091143946957,0.000771019338146454,"AKT1/PIK3CA/AKT3/PIK3CD",4
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","4/54","79/9370",0.0506329113924051,8.78574777308955,5.29067891208473,0.00107514186648493,0.00223544348477066,0.000840392287507765,"HSD11B1/CYP2D6/CYP2D7/LOC107987479",4
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","3/54","41/9370",0.0731707317073171,12.6964769647696,5.71423650253285,0.00165220020202743,0.00340158865123295,0.00127879272602743,"MMP2/EGFR/SRC",3
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","5/54","154/9370",0.0324675324675325,5.63371813371813,4.41415418866924,0.00185791795308551,0.00378798805968891,0.00142405566153719,"EGFR/NPPA/PIK3CG/SRC/ROCK1",5
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","5/54","157/9370",0.0318471337579618,5.52606746874263,4.35410676177294,0.00202216507568149,0.00408321794127994,0.00153504433882704,"AKT1/PIK3CA/AKT3/PIK3CD/MAPK14",5
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","4/54","94/9370",0.0425531914893617,7.38376674546887,4.73575608919697,0.00204751195911547,0.00409502391823094,0.00153948267602667,"MMP3/MMP13/MAPK14/GSK3B",4
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","4/54","98/9370",0.0408163265306122,7.08238851095994,4.60817796540425,0.00238458418606975,0.00472417621768535,0.00177600609687419,"AKT1/PIK3CA/AKT3/PIK3CD",4
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","3/54","47/9370",0.0638297872340425,11.0756501182033,5.27196992793548,0.00245269993796336,0.00481371015861968,0.00180966547316529,"INSR/PIK3CA/PIK3CD",3
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","7/54","333/9370",0.021021021021021,3.6475364253142,3.74524884706045,0.00282930402093785,0.00550142448515693,0.00206820469366802,"EGFR/AKT1/PIK3CA/AKT3/PIK3CD/GSK3B/ITGA4",7
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","4/54","105/9370",0.0380952380952381,6.61022927689594,4.40130340072944,0.0030633519067675,0.00588631630468066,0.0022129008664213,"BCL2/IRAK4/XIAP/PARP1",4
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","5/54","173/9370",0.0289017341040462,5.01498608435025,4.05800672259792,0.00308330854054701,0.00588631630468066,0.0022129008664213,"AKT1/PIK3CA/AKT3/IRAK4/PIK3CD",5
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","6/54","254/9370",0.0236220472440945,4.09886264216973,3.81193762794914,0.00324855575782698,0.00614591629859159,0.00231049484909458,"EGFR/FGF1/CCKBR/ADRA1A/HRH1/ADRA1D",6
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","7/54","370/9370",0.0189189189189189,3.28278278278278,3.41093116494857,0.00505551460965945,0.00947908989311146,0.00356356762898927,"NR3C1/CCKBR/MLNR/ADRA1A/HRH1/C3AR1/ADRA1D",7
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","4/54","133/9370",0.0300751879699248,5.21860206070732,3.73041946524237,0.00709169685625411,0.013179259644366,0.00495460888885941,"AKT1/AKT3/MAPK14/GSK3B",4
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","4/54","134/9370",0.0298507462686567,5.17965726920951,3.71005089797829,0.00727910769872869,0.0134088826029213,0.0050409333093689,"NPPA/ROCK1/ADRA1A/ADRA1D",4
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","3/54","70/9370",0.0428571428571429,7.43650793650794,4.11515894595086,0.00754406142922441,0.0137761121751054,0.00517898953951333,"AKT1/AKT3/PPARA",3
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","2/54","23/9370",0.0869565217391304,15.0885668276973,5.1501914374321,0.0076326684394411,0.0138177618300227,0.0051946473045198,"LNPEP/ANPEP",2
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","3/54","71/9370",0.0422535211267606,7.33176838810642,4.07722642472548,0.00784515303689311,0.0140810439123722,0.00529362553096701,"EGFR/SRC/MAPK14",3
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","3/54","73/9370",0.0410958904109589,7.13089802130898,4.00352796424559,0.00846845753993663,0.0150709837575143,0.00566578336748659,"CYP2D6/CYP2D7/LOC107987479",3
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","5/54","224/9370",0.0223214285714286,3.87318121693122,3.31360081772314,0.00911960076901126,0.0160934131217846,0.00605015530894157,"AKT1/PIK3CA/AKT3/XIAP/PIK3CD",5
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","4/54","144/9370",0.0277777777777778,4.81995884773663,3.51691575025253,0.00933598951589194,0.0163379816528109,0.00614209836571838,"AKT1/PIK3CA/AKT3/PIK3CD",4
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","3/54","78/9370",0.0384615384615385,6.67378917378917,3.83084565438945,0.0101515612943552,0.0173319339171919,0.00651576463052326,"PIK3CA/PIK3CD/PIK3CG",3
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","3/54","78/9370",0.0384615384615385,6.67378917378917,3.83084565438945,0.0101515612943552,0.0173319339171919,0.00651576463052326,"PIK3CA/PIK3CD/SRC",3
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","3/54","78/9370",0.0384615384615385,6.67378917378917,3.83084565438945,0.0101515612943552,0.0173319339171919,0.00651576463052326,"IRAK4/MAPK14/ITGA4",3
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","6/54","323/9370",0.0185758513931889,3.22325421396629,3.09575690026424,0.0102817346520246,0.0174126151364933,0.00654609591597491,"EGFR/PIK3CA/BCL2/PIK3CD/ROCK1/PIM1",6
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","2/54","32/9370",0.0625,10.8449074074074,4.24706052047182,0.0144773253495337,0.0243219065872166,0.00914357390496866,"BCL2/XIAP",2
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","4/54","187/9370",0.0213903743315508,3.71162606456724,2.85158991644556,0.0223760317647896,0.0372933862746493,0.0140200700280636,"BCL2/IRAK4/XIAP/MAPK14",4
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","6/54","388/9370",0.0154639175257732,2.68327605956472,2.578181237826,0.023432052027345,0.0386744652466489,0.0145392726491161,"INSR/AKT1/PIK3CA/AKT3/PIK3CD/GSK3B",6
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","3/54","107/9370",0.0280373831775701,4.865005192108,3.06122250850471,0.0235730073884336,0.0386744652466489,0.0145392726491161,"AKT1/AKT3/PPARA",3
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","4/54","200/9370",0.02,3.47037037037037,2.68856882931481,0.0277847433332649,0.0452309775192685,0.017004126886943,"IRAK4/SRC/ROCK1/MAPK14",4
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","3/54","115/9370",0.0260869565217391,4.52657004830918,2.8969565584297,0.0283999661888625,0.0458768684589317,0.0172469430296736,"CYP2D6/CYP2D7/LOC107987479",3
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","4/54","205/9370",0.0195121951219512,3.38572719060524,2.62942165713189,0.0300566046926122,0.0481823434003708,0.0181136629324702,"PIK3CA/PIK3CD/SRC/CCR3",4
