"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"hsa04519","Cadherin signaling","11/54","404/9370",0.0272277227722772,4.72451411807848,5.82625782988912,1.49681035315945e-05,0.000211549196579869,0.000102938536568159,"EGFR/KDR/CHUK/MET/MAPK10/ROCK1/MAPK14/GSK3B/PTK2/PCDHA4/PCDHA6",11
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","8/54","203/9370",0.0394088669950739,6.83816821747856,6.40235523119768,1.87013121524593e-05,0.000247792386020085,0.000120574249404014,"EGFR/KDR/MET/SRC/MAPK10/ROCK1/GSK3B/PTK2",8
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","5/54","60/9370",0.0833333333333333,14.4598765432099,7.9628882441104,2.25952956373527e-05,0.000281776627948163,0.00013711077228858,"PTGS2/KDR/SRC/MAPK14/PTK2",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","10/54","370/9370",0.027027027027027,4.68968968968969,5.51312969699647,4.127531913641e-05,0.000442528850972846,0.000215331814276757,"F2/PLG/CNR1/P2RX7/GRM5/CNR2/TSPO/ADRA2C/ADRA1A/ADRA1D",10
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","6/54","112/9370",0.0535714285714286,9.29563492063492,6.72401716872299,4.12871274948249e-05,0.000442528850972846,0.000215331814276757,"CASP3/CHUK/JAK2/MAPK10/JAK1/MAPK14",6
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","8/54","227/9370",0.0352422907488987,6.11519007994779,5.93962607114487,4.17480048087591e-05,0.000442528850972846,0.000215331814276757,"EGFR/HMOX1/CHUK/MET/SRC/MAPK10/MAPK14/PTK2",8
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","5/54","71/9370",0.0704225352112676,12.2196139801774,7.22466517902418,5.13435466587375e-05,0.000518325328173922,0.000252213913411342,"JAK2/SRC/MAPK10/MAPK14/GSK3B",5
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","6/54","119/9370",0.0504201680672269,8.74883286647992,6.47655701992853,5.80687261061248e-05,0.000559571360659021,0.000272283978870824,"MMP9/PTGS2/CASP3/CHUK/MAPK10/MAPK14",6
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","8/54","253/9370",0.0316205533596838,5.4867515737081,5.50801439315738,8.97822573421069e-05,0.000815261019351778,0.000396700992534629,"EGFR/CHUK/SRC/MAPK10/ROCK1/MAPK14/GSK3B/PTK2",8
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","8/54","254/9370",0.031496062992126,5.46515018955964,5.49261970840667,9.22937003039748e-05,0.000815261019351778,0.000396700992534629,"EGFR/KDR/MET/P2RX7/GRM5/CD38/ADRA1A/ADRA1D",8
"Human Diseases","Infectious disease: viral","hsa05162","Measles","6/54","136/9370",0.0441176470588235,7.65522875816994,5.95204582876387,0.000122025593450901,0.00103477703246364,0.000503516132976348,"CASP3/CHUK/CDK2/MAPK10/JAK1/GSK3B",6
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","5/54","86/9370",0.0581395348837209,10.088285960379,6.44603119218203,0.000128647374547088,0.00104897090015318,0.000510422781603832,"EGFR/SRC/MAPK10/GSK3B/PTK2",5
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","7/54","200/9370",0.035,6.07314814814815,5.52124011087551,0.00013754501029303,0.00107998304378231,0.000525513099755048,"F2/CASP3/CHUK/SRC/MAPK10/ROCK1/MAPK14",7
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","5/54","90/9370",0.0555555555555556,9.63991769547325,6.27026118335252,0.000159543593148231,0.00120797291955089,0.000587792185282957,"EGFR/CHUK/JAK2/JAK1/MAPK14",5
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","6/54","144/9370",0.0416666666666667,7.22993827160494,5.73570787116999,0.000167046871360421,0.00122117023201411,0.000594213916273002,"CASP3/CHUK/ALDH2/MAPK10/MAPK14/GSK3B",6
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","5/54","93/9370",0.0537634408602151,9.3289526085225,6.14549467083156,0.000186216311431657,0.00123368306323473,0.000600302582904683,"CHUK/JAK2/MAPK10/JAK1/MAPK14",5
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","5/54","93/9370",0.0537634408602151,9.3289526085225,6.14549467083156,0.000186216311431657,0.00123368306323473,0.000600302582904683,"MMP2/EGFR/SRC/MAPK10/MAPK14",5
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","5/54","93/9370",0.0537634408602151,9.3289526085225,6.14549467083156,0.000186216311431657,0.00123368306323473,0.000600302582904683,"PTGS2/CASP3/CHUK/CDK2/PTK2",5
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","9/54","362/9370",0.0248618784530387,4.31399631675875,4.89576854145992,0.000197777730450567,0.00127057208653091,0.000618252554518518,"EGFR/KDR/CHUK/MET/CDK2/JAK2/JAK1/GSK3B/PTK2",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","6/54","154/9370",0.038961038961039,6.76046176046176,5.48750823309315,0.000240820447683701,0.00150158632085131,0.000730662658606895,"EGFR/KDR/MET/SRC/GSK3B/PTK2",6
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","6/54","156/9370",0.0384615384615385,6.67378917378917,5.44051671530557,0.000258256462787022,0.00156429628888139,0.000761176942951222,"EGFR/CASP3/CHUK/CDK2/JAK1/GSK3B",6
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","5/54","101/9370",0.0495049504950495,8.59002566923359,5.83870119284721,0.000274095719401472,0.00161411923647534,0.000785420482495447,"MMP2/CASP3/JAK2/MAPK10/MAPK14",5
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","5/54","105/9370",0.0476190476190476,8.26278659611993,5.69775775045703,0.000328374127794521,0.00188149500249834,0.000915523884035935,"PTGS2/CHUK/SRC/MAPK10/MAPK14",5
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","5/54","109/9370",0.0458715596330275,7.95956506965681,5.56410306640834,0.000390443216595421,0.00217306367665848,0.0010573994057226,"CHUK/JAK2/MAPK10/JAK1/MAPK14",5
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","7/54","238/9370",0.0294117647058824,5.10348583877996,4.88188141213044,0.000399761714102267,0.00217306367665848,0.0010573994057226,"F2/MMP1/EGFR/CHUK/MAPK10/JAK1/MAPK14",7
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","8/54","323/9370",0.0247678018575851,4.29767228528838,4.59182385345811,0.000476583568227084,0.00252589291160355,0.00122908393911195,"MMP9/PTGS2/EGFR/CASP3/HMOX1/PLAU/MET/ROCK1",8
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","5/54","116/9370",0.0431034482758621,7.47924648786718,5.34585910655582,0.000519949991287761,0.00268852190617086,0.00130821820657768,"MMP9/MMP2/ROCK1/MAPK14/PTK2",5
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","6/54","181/9370",0.0331491712707182,5.75199508901166,4.91484588591482,0.000572165106851787,0.00287662473021506,0.00139974788262699,"CASP3/JAK2/SRC/MAPK10/JAK1/MAPK14",6
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","8/54","333/9370",0.024024024024024,4.16861305750195,4.48237247537831,0.000583466336788903,0.00287662473021506,0.00139974788262699,"PTGS2/EGFR/CASP3/CHUK/CDK2/JAK1/GSK3B/PTK2",8
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","6/54","184/9370",0.0326086956521739,5.65821256038647,4.85840541876591,0.000624061032146141,0.00300683951852232,0.00146310959689765,"SHH/MET/SRC/ROCK1/GSK3B/PTK2",6
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","5/54","122/9370",0.040983606557377,7.11141469338191,5.1728098978435,0.000654679275840517,0.00308426681062644,0.00150078524052329,"JAK2/MAPK10/MAPK14/GSK3B/PTK2",5
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","6/54","187/9370",0.0320855614973262,5.56743909685086,4.80319297809883,0.000679549185772764,0.00313183537790926,0.00152393181248812,"NAMPT/CHUK/MAPK10/JAK1/MAPK14/P2RX7",6
"Organismal Systems","Immune system","hsa04611","Platelet activation","5/54","126/9370",0.0396825396825397,6.88565549676661,5.06382748526639,0.000758033147212597,0.00341921334487384,0.0016637681618552,"F2/PTGS1/SRC/ROCK1/MAPK14",5
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","6/54","193/9370",0.0310880829015544,5.39435808865861,4.69626388424825,0.000801980528149754,0.00354208066599474,0.00172355464383061,"CHUK/JAK2/SRC/ROCK1/GSK3B/PTK2",6
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","5/54","133/9370",0.037593984962406,6.52325257588415,4.8840939780591,0.000967695175838438,0.00414088785873855,0.00201493053702273,"EGFR/CHUK/CDK2/MAPK10/MAPK14",5
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","4/54","77/9370",0.051948051948052,9.01394901394901,5.37579536513224,0.000976624494985508,0.00414088785873855,0.00201493053702273,"EGFR/CHUK/MAPK10/JAK1",4
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","4/54","78/9370",0.0512820512820513,8.89838556505223,5.33285518579916,0.00102505016744572,0.00426099285291162,0.0020733728877127,"PTGS2/JAK2/JAK1/MAPK14",4
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","6/54","205/9370",0.0292682926829268,5.07859078590786,4.49520590001912,0.00109761271008648,0.00447488258727566,0.00217745031555618,"CASP3/CHUK/CDK2/MAPK10/JAK1/MAPK14",6
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","6/54","212/9370",0.0283018867924528,4.91090146750524,4.38503682289317,0.00130511734080859,0.00522046936323436,0.0025402482502332,"EGFR/KDR/MET/SRC/MAPK14/CNR1",6
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","6/54","214/9370",0.0280373831775701,4.865005192108,4.35444526420815,0.00136959639392847,0.00537693399097843,0.00261638297475614,"CASP3/CHUK/MAPK10/MAPK14/CDK1/PTK2",6
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","4/54","87/9370",0.0459770114942529,7.97786292039166,4.97813470385414,0.00153957739292953,0.0058230468919975,0.00283345876571875,"EGFR/CASP3/MAPK10/GSK3B",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","6/54","219/9370",0.0273972602739726,4.75393201420599,4.2795976684604,0.00154149034395453,0.0058230468919975,0.00283345876571875,"JAK2/SRC/ADRA2C/ADRA1A/AMH/ADRA1D",6
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","7/54","300/9370",0.0233333333333333,4.04876543209877,4.08610718718796,0.00156563053228235,0.0058230468919975,0.00283345876571875,"EGFR/KDR/CASP3/CHUK/MET/MAPK10/MAPK14",7
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","5/54","149/9370",0.0335570469798658,5.82276907780263,4.51782443837863,0.00160625483719146,0.00587113837042395,0.00285685978302655,"PTGS2/MAPK10/MAPK14/CNR1/GRM5",5
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","5/54","150/9370",0.0333333333333333,5.78395061728395,4.49671762362197,0.0016544450518384,0.00591662568978888,0.00287899363256857,"SHH/EGFR/MET/CDK2/GSK3B",5
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","4/54","89/9370",0.0449438202247191,7.79858510195589,4.90619623302196,0.00167451670465723,0.00591662568978888,0.00287899363256857,"EGFR/SRC/GRM5/CDK1",4
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","5/54","154/9370",0.0324675324675325,5.63371813371813,4.41415418866924,0.00185791795308551,0.00645702632875622,0.00314194925629647,"PTGS2/EGFR/SRC/ROCK1/CD38",5
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","4/54","93/9370",0.043010752688172,7.463162086818,4.76882628922852,0.00196871670155075,0.00673174097949611,0.00327562371395541,"EGFR/MET/SRC/ROCK1",4
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","5/54","157/9370",0.0318471337579618,5.52606746874263,4.35410676177294,0.00202216507568149,0.00680474596895994,0.00331114749234396,"PTGS2/CASP3/JAK2/MAPK14/PTK2",5
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","6/54","232/9370",0.0258620689655172,4.48754789272031,4.09512681573924,0.00206584487106824,0.00684311113541354,0.00332981574612973,"F2/EGFR/SRC/ROCK1/PTK2/PIP4K2C",6
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","5/54","166/9370",0.0301204819277108,5.2264614011602,4.1828414742628,0.00257887837943278,0.00841111102214999,0.00409279483699453,"ROCK1/PDE5A/ADRA2C/ADRA1A/ADRA1D",5
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","5/54","173/9370",0.0289017341040462,5.01498608435025,4.05800672259792,0.00308330854054701,0.00990396076660556,0.0048192063313175,"CASP3/PLG/CHUK/JAK2/JAK1",5
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","4/54","109/9370",0.036697247706422,6.36765205572545,4.2913844419516,0.00350525494186831,0.0110912544429266,0.00539693612416488,"CHUK/MAPK10/JAK1/MAPK14",4
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","4/54","110/9370",0.0363636363636364,6.30976430976431,4.26476251882335,0.00362216040992563,0.0112318955281608,0.00546537121032652,"CDK2/MAPK10/MAPK14/CDK1",4
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","5/54","180/9370",0.0277777777777778,4.81995884773663,3.93972529281175,0.00365566411058065,0.0112318955281608,0.00546537121032652,"CASP3/CHUK/JAK2/SRC/JAK1",5
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","2/54","16/9370",0.125,21.6898148148148,6.3058940781185,0.00371478162653809,0.0112504814975154,0.00547441502858245,"MIF/MAOB",2
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","2/54","17/9370",0.117647058823529,20.4139433551198,6.09946173497977,0.00419459080376214,0.0125041151102707,0.00608442542605027,"CA5A/CA9",2
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","4/54","115/9370",0.0347826086956522,6.03542673107891,4.13643066584917,0.00424668060348815,0.0125041151102707,0.00608442542605027,"PTGS2/CASP3/PTGS1/MAOB",4
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","4/54","122/9370",0.0327868852459016,5.68913175470553,3.96896436749743,0.00523800913932253,0.0152117525689915,0.00740194514280618,"CHUK/MAPK10/MAPK14/GSK3B",4
